zip,facility_id,cap_existing_total,cap_existing_u5,expand_slots,expand_u5_slots,triggered_baseline
10001,fac_10001,609,0,121,121,0
10002,fac_10002,4729,18,500,500,0
10003,fac_10003,1995,0,399,399,0
10004,fac_10004,263,0,52,52,0
10005,fac_10005,39,0,7,7,0
10006,fac_10006,156,14,31,31,0
10007,fac_10007,284,0,56,56,0
10009,fac_10009,1784,18,356,354,0
10010,fac_10010,234,0,46,0,0
10011,fac_10011,1956,42,391,391,0
10012,fac_10012,24,0,4,4,0
10013,fac_10013,435,0,87,87,0
10014,fac_10014,1711,71,342,342,0
10016,fac_10016,823,0,164,164,0
10017,fac_10017,107,0,21,0,0
10019,fac_10019,591,0,118,118,0
10021,fac_10021,460,0,92,92,0
10022,fac_10022,16,0,3,3,0
10023,fac_10023,1099,0,219,219,0
10024,fac_10024,1243,15,248,248,0
10025,fac_10025,2553,91,500,500,0
10026,fac_10026,1706,18,341,341,0
10027,fac_10027,3758,0,500,500,0
10028,fac_10028,348,36,69,69,0
10029,fac_10029,3358,0,500,500,0
10030,fac_10030,1272,0,254,254,0
10031,fac_10031,1577,0,315,315,0
10032,fac_10032,3222,0,500,500,0
10033,fac_10033,2893,0,500,500,0
10034,fac_10034,3126,0,500,500,0
10035,fac_10035,2075,0,415,415,0
10036,fac_10036,686,0,137,135,0
10037,fac_10037,586,21,117,117,0
10038,fac_10038,802,20,160,160,0
10039,fac_10039,1423,0,284,284,0
10040,fac_10040,2594,0,500,500,0
10044,fac_10044,489,0,97,97,0
10065,fac_10065,845,40,169,169,0
10069,fac_10069,16,0,3,3,0
10075,fac_10075,235,0,47,47,0
10128,fac_10128,301,0,60,60,0
10280,fac_10280,509,0,101,101,0
10282,fac_10282,279,0,55,55,0
10301,fac_10301,1905,10,381,379,0
10302,fac_10302,744,0,148,148,0
10303,fac_10303,1629,0,325,325,0
10304,fac_10304,2020,41,404,404,0
10305,fac_10305,786,0,157,157,0
10306,fac_10306,578,0,115,115,0
10307,fac_10307,259,0,51,51,0
10308,fac_10308,447,0,89,89,0
10309,fac_10309,297,0,59,59,0
10310,fac_10310,1168,0,233,233,0
10312,fac_10312,1140,8,228,228,0
10314,fac_10314,1654,0,330,330,0
10451,fac_10451,3287,0,500,500,0
10452,fac_10452,7000,0,500,500,0
10453,fac_10453,6841,0,500,500,0
10454,fac_10454,3163,0,500,500,0
10455,fac_10455,3035,0,500,500,0
10456,fac_10456,7286,0,500,500,0
10457,fac_10457,6559,0,500,500,0
10458,fac_10458,4657,0,500,500,0
10459,fac_10459,4018,0,500,500,0
10460,fac_10460,4820,0,500,500,0
10461,fac_10461,1462,0,292,292,0
10462,fac_10462,3425,0,500,500,0
10463,fac_10463,4249,0,500,498,0
10464,fac_10464,114,0,22,22,0
10465,fac_10465,1888,0,377,377,0
10466,fac_10466,3192,0,500,500,0
10467,fac_10467,6220,0,500,500,0
10468,fac_10468,4308,0,500,500,0
10469,fac_10469,2315,0,463,463,0
10470,fac_10470,632,0,126,126,0
10471,fac_10471,284,0,56,56,0
10472,fac_10472,3593,0,500,500,0
10473,fac_10473,3548,0,500,500,0
10474,fac_10474,1194,0,238,238,0
10475,fac_10475,1808,0,361,361,0
10502,fac_10502,273,0,54,54,0
10504,fac_10504,706,547,141,0,0
10506,fac_10506,80,0,16,16,0
10507,fac_10507,220,151,44,44,0
10509,fac_10509,1015,793,203,0,0
10510,fac_10510,704,378,140,0,0
10511,fac_10511,72,0,14,14,0
10512,fac_10512,230,126,46,46,0
10514,fac_10514,585,424,117,64,0
10516,fac_10516,163,147,32,32,0
10520,fac_10520,847,544,169,0,0
10522,fac_10522,581,444,116,0,0
10523,fac_10523,733,407,146,49,0
10524,fac_10524,16,0,3,3,0
10527,fac_10527,64,64,12,0,0
10528,fac_10528,690,483,138,41,0
10530,fac_10530,405,162,81,81,0
10532,fac_10532,381,171,76,22,0
10533,fac_10533,157,88,31,31,0
10535,fac_10535,100,0,20,5,0
10536,fac_10536,315,236,63,0,0
10538,fac_10538,455,372,91,91,0
10541,fac_10541,958,588,191,191,0
10543,fac_10543,867,400,173,173,0
10547,fac_10547,817,497,163,0,0
10548,fac_10548,121,61,24,0,0
10549,fac_10549,734,584,146,146,0
10550,fac_10550,1162,304,232,230,0
10552,fac_10552,596,172,119,119,0
10553,fac_10553,156,0,31,31,0
10560,fac_10560,129,0,25,25,0
10562,fac_10562,1737,573,347,345,0
10566,fac_10566,862,380,172,172,0
10567,fac_10567,303,173,60,0,0
10570,fac_10570,316,139,63,63,0
10573,fac_10573,1573,501,314,314,0
10576,fac_10576,40,0,8,8,0
10577,fac_10577,365,336,73,0,0
10579,fac_10579,310,78,62,55,0
10580,fac_10580,410,258,82,0,0
10583,fac_10583,1776,1349,355,105,0
10588,fac_10588,41,0,8,8,0
10589,fac_10589,210,59,42,42,0
10590,fac_10590,245,163,49,49,0
10591,fac_10591,1667,696,333,214,0
10594,fac_10594,32,0,6,6,0
10595,fac_10595,740,605,148,0,0
10598,fac_10598,1592,1049,318,0,0
10601,fac_10601,284,229,56,0,0
10603,fac_10603,338,58,67,67,0
10604,fac_10604,727,426,145,46,0
10605,fac_10605,2123,1454,424,0,0
10606,fac_10606,923,548,184,80,0
10607,fac_10607,345,206,69,17,0
10701,fac_10701,2656,829,500,500,0
10703,fac_10703,983,165,196,194,0
10704,fac_10704,620,38,124,124,0
10705,fac_10705,1750,281,350,350,0
10706,fac_10706,630,322,126,0,0
10707,fac_10707,357,284,71,0,0
10708,fac_10708,193,93,38,38,0
10709,fac_10709,437,37,87,87,0
10710,fac_10710,757,0,151,151,0
10801,fac_10801,2388,522,477,477,0
10803,fac_10803,660,559,132,0,0
10804,fac_10804,1215,650,243,0,0
10805,fac_10805,238,103,47,47,0
10901,fac_10901,973,309,194,194,0
10913,fac_10913,363,175,72,0,0
10916,fac_10916,8,0,1,0,0
10917,fac_10917,175,43,35,0,0
10918,fac_10918,166,90,33,33,0
10919,fac_10919,100,0,20,16,0
10920,fac_10920,462,277,92,0,0
10921,fac_10921,182,125,36,23,0
10923,fac_10923,171,99,34,34,0
10924,fac_10924,435,339,87,87,0
10925,fac_10925,69,0,13,13,0
10926,fac_10926,40,0,8,0,0
10927,fac_10927,619,280,123,123,0
10928,fac_10928,101,0,20,0,0
10930,fac_10930,92,58,18,0,0
10940,fac_10940,1566,795,313,313,0
10941,fac_10941,723,464,144,0,0
10950,fac_10950,713,479,142,142,0
10952,fac_10952,581,123,116,116,0
10954,fac_10954,952,131,190,190,0
10956,fac_10956,1649,818,329,262,0
10960,fac_10960,460,288,92,74,0
10962,fac_10962,16,0,3,0,0
10963,fac_10963,124,44,24,0,0
10964,fac_10964,135,111,27,0,0
10965,fac_10965,615,374,123,123,0
10968,fac_10968,173,173,34,0,0
10970,fac_10970,201,105,40,40,0
10973,fac_10973,183,143,36,0,0
10974,fac_10974,48,0,9,0,0
10977,fac_10977,2303,1161,460,460,0
10980,fac_10980,349,107,69,69,0
10983,fac_10983,246,0,49,49,0
10984,fac_10984,143,0,28,0,0
10987,fac_10987,40,0,8,8,0
10989,fac_10989,261,114,52,52,0
10990,fac_10990,466,280,93,0,0
10992,fac_10992,360,227,72,72,0
10993,fac_10993,401,303,80,0,0
10994,fac_10994,825,149,165,37,0
10998,fac_10998,43,43,8,0,0
11001,fac_11001,537,188,107,107,0
11003,fac_11003,2415,209,483,481,0
11004,fac_11004,427,0,85,0,0
11010,fac_11010,282,0,56,0,0
11020,fac_11020,142,62,28,28,0
11021,fac_11021,202,202,40,40,0
11023,fac_11023,355,217,71,71,0
11024,fac_11024,552,302,110,110,0
11030,fac_11030,689,279,137,137,0
11040,fac_11040,1220,726,244,244,0
11042,fac_11042,282,282,56,0,0
11050,fac_11050,1928,956,385,330,0
11096,fac_11096,349,167,69,69,0
11101,fac_11101,1616,6,323,321,0
11102,fac_11102,1390,0,278,278,0
11103,fac_11103,524,0,104,104,0
11104,fac_11104,1229,0,245,245,0
11105,fac_11105,830,22,166,166,0
11106,fac_11106,1535,0,307,307,0
11109,fac_11109,89,0,17,0,0
11201,fac_11201,1957,0,391,391,0
