zip,type,build_count,u5_slots,cap_per_facility,cap05_per_facility,cost_per_facility
10001,L,2,375,400,200,115000
10002,L,5,910,400,200,115000
10003,L,3,561,400,200,115000
10004,S,1,37,100,50,65000
10004,L,1,200,400,200,115000
10005,L,2,316,400,200,115000
10006,S,1,41,100,50,65000
10007,L,2,348,400,200,115000
10009,M,1,92,200,100,95000
10009,L,4,800,400,200,115000
10010,L,5,948,400,200,115000
10011,L,2,373,400,200,115000
10012,S,1,5,100,50,65000
10012,L,2,400,400,200,115000
10013,L,4,746,400,200,115000
10014,M,1,59,200,100,95000
10016,S,1,35,100,50,65000
10016,L,5,1000,400,200,115000
10017,L,1,129,400,200,115000
10019,S,1,15,100,50,65000
10019,L,3,600,400,200,115000
10021,M,1,100,200,100,95000
10021,L,5,1000,400,200,115000
10022,S,1,16,100,50,65000
10022,L,4,800,400,200,115000
10023,L,11,2147,400,200,115000
10024,L,13,2551,400,200,115000
10025,S,1,9,100,50,65000
10025,L,12,2400,400,200,115000
10026,L,6,1123,400,200,115000
10027,L,10,1924,400,200,115000
10028,S,1,41,100,50,65000
10028,L,5,1000,400,200,115000
10029,L,11,2144,400,200,115000
10030,L,5,994,400,200,115000
10031,M,1,58,200,100,95000
10031,L,6,1200,400,200,115000
10032,L,5,992,400,200,115000
10033,S,1,38,100,50,65000
10033,L,8,1600,400,200,115000
10034,S,1,44,100,50,65000
10034,L,6,1200,400,200,115000
10035,L,6,1173,400,200,115000
10036,M,1,88,200,100,95000
10036,L,1,200,400,200,115000
10037,L,3,576,400,200,115000
10038,L,2,335,400,200,115000
10039,L,5,982,400,200,115000
10040,S,1,14,100,50,65000
10040,L,4,800,400,200,115000
10044,L,3,529,400,200,115000
10065,M,1,78,200,100,95000
10065,L,6,1200,400,200,115000
10069,M,1,57,200,100,95000
10069,L,2,400,400,200,115000
10075,L,4,782,400,200,115000
10128,S,1,1,100,50,65000
10128,L,9,1800,400,200,115000
10280,L,1,111,400,200,115000
10282,S,1,24,100,50,65000
10282,L,1,200,400,200,115000
10301,M,1,65,200,100,95000
10301,L,7,1400,400,200,115000
10302,L,4,744,400,200,115000
10303,L,3,517,400,200,115000
10304,S,1,45,100,50,65000
10304,L,5,1000,400,200,115000
10305,L,5,945,400,200,115000
10306,S,1,23,100,50,65000
10306,L,8,1600,400,200,115000
10307,M,1,81,200,100,95000
10307,L,3,600,400,200,115000
10308,S,1,49,100,50,65000
10308,L,3,600,400,200,115000
10309,S,1,32,100,50,65000
10309,L,6,1200,400,200,115000
10310,S,1,50,100,50,65000
10310,L,6,1162,400,200,115000
10312,S,1,10,100,50,65000
10312,L,11,2200,400,200,115000
10314,L,16,3183,400,200,115000
10451,S,1,30,100,50,65000
10451,L,9,1800,400,200,115000
10452,L,16,3141,400,200,115000
10453,L,16,3151,400,200,115000
10454,S,1,14,100,50,65000
10454,L,7,1400,400,200,115000
10455,L,6,1172,400,200,115000
10456,L,20,3979,400,200,115000
10457,S,1,24,100,50,65000
10457,L,20,4000,400,200,115000
10458,S,1,24,100,50,65000
10458,L,16,3200,400,200,115000
10459,L,11,2149,400,200,115000
10460,L,11,2156,400,200,115000
10461,L,8,1542,400,200,115000
10462,S,1,21,100,50,65000
10462,L,16,3200,400,200,115000
10463,M,1,71,200,100,95000
