zip,theta,pop_0_12,pop_0_5,slots_total,slots_u5,coverage_rhs,u5_rhs
10001,0.3333333333333333,2093.2,744.0,1530,496,697.7333333333332,496.0
10002,0.5,7106.8,2142.0,7229,1428,3553.4,1428.0
10003,0.3333333333333333,3045.8,1440.0,3594,960,1015.2666666666667,960.0
10004,0.3333333333333333,711.6,433.0,815,289,237.2,288.66666666666663
10005,0.3333333333333333,825.4,484.0,846,323,275.1333333333333,322.66666666666663
10006,0.3333333333333333,269.0,128.0,287,86,89.66666666666666,85.33333333333333
10007,0.3333333333333333,1230.0,605.0,1140,404,410.0,403.3333333333333
10009,0.3333333333333333,4655.0,1896.0,3940,1264,1551.6666666666665,1264.0
10010,0.3333333333333333,3582.8,1422.0,2280,948,1194.2666666666667,948.0
10011,0.3333333333333333,3227.4,1209.0,3147,806,1075.8,806.0
10012,0.3333333333333333,1018.2,613.0,928,409,339.4,408.66666666666663
10013,0.3333333333333333,3182.6,1249.0,2122,833,1060.8666666666666,832.6666666666666
10014,0.3333333333333333,1571.0,708.0,2253,472,523.6666666666666,472.0
10016,0.3333333333333333,3905.0,1798.0,3087,1199,1301.6666666666665,1198.6666666666665
10017,0.3333333333333333,509.2,193.0,528,129,169.73333333333332,128.66666666666666
10019,0.3333333333333333,2092.2,1099.0,2009,733,697.3999999999999,732.6666666666666
10021,0.3333333333333333,4337.4,1787.0,2752,1192,1445.7999999999997,1191.3333333333333
10022,0.3333333333333333,2802.6,1228.0,1719,819,934.1999999999999,818.6666666666666
10023,0.3333333333333333,7300.6,3548.0,5718,2366,2433.5333333333333,2365.333333333333
10024,0.3333333333333333,8854.0,4221.0,6691,2814,2951.333333333333,2814.0
10025,0.3333333333333333,10173.8,4499.0,7953,3000,3391.2666666666664,2999.333333333333
10026,0.3333333333333333,5481.2,2222.0,4447,1482,1827.0666666666666,1481.3333333333333
10027,0.3333333333333333,8854.8,3636.0,8258,2424,2951.5999999999995,2424.0
10028,0.3333333333333333,4898.4,1719.0,2517,1146,1632.7999999999997,1146.0
10029,0.5,9673.8,3965.0,8258,2644,4836.9,2643.333333333333
10030,0.5,4235.2,1872.0,3526,1248,2117.6,1248.0
10031,0.5,6585.4,2359.0,4492,1573,3292.7,1572.6666666666665
10032,0.5,5908.2,2238.0,5722,1492,2954.1,1492.0
10033,0.5,7244.6,3206.0,6693,2138,3622.3,2137.333333333333
10034,0.5,5804.8,2615.0,6126,1744,2902.4,1743.3333333333333
10035,0.5,5722.6,2382.0,4890,1588,2861.3,1588.0
10036,0.3333333333333333,1589.6,634.0,1423,423,529.8666666666666,422.66666666666663
10037,0.5,2566.0,1070.0,1903,714,1283.0,713.3333333333333
10038,0.3333333333333333,2127.6,772.0,1762,515,709.1999999999999,514.6666666666666
10039,0.5,4632.0,1898.0,3707,1266,2316.0,1265.3333333333333
10040,0.5,5650.0,1970.0,4794,1314,2825.0,1313.3333333333333
10044,0.3333333333333333,1756.8,939.0,1786,626,585.5999999999999,626.0
10065,0.3333333333333333,4100.2,2230.0,3614,1487,1366.7333333333331,1486.6666666666665
10069,0.3333333333333333,1285.8,690.0,1019,460,428.59999999999997,460.0
10075,0.3333333333333333,2520.6,1243.0,1882,829,840.1999999999999,828.6666666666666
10128,0.3333333333333333,5659.2,2791.0,4061,1861,1886.3999999999999,1860.6666666666665
10280,0.3333333333333333,630.2,318.0,1010,212,210.06666666666666,212.0
10282,0.3333333333333333,1338.0,418.0,834,279,446.0,278.66666666666663
10301,0.3333333333333333,6133.6,2780.0,5286,1854,2044.5333333333333,1853.3333333333333
10302,0.5,3324.0,1338.0,2492,892,1662.0,892.0
10303,0.5,4304.6,1262.0,3154,842,2152.3,841.3333333333333
10304,0.3333333333333333,6930.4,2234.0,4524,1490,2310.133333333333,1489.3333333333333
10305,0.3333333333333333,5261.8,1653.0,2943,1102,1753.9333333333334,1102.0
10306,0.3333333333333333,7927.799999999999,2606.0,3993,1738,2642.5999999999995,1737.3333333333333
10307,0.3333333333333333,2206.2,1098.0,1710,732,735.3999999999999,732.0
10308,0.3333333333333333,3888.6,1106.0,1836,738,1296.1999999999998,737.3333333333333
10309,0.3333333333333333,5375.6,1936.0,2856,1291,1791.8666666666668,1290.6666666666665
10310,0.3333333333333333,4759.4,2167.0,3901,1445,1586.4666666666665,1444.6666666666665
10312,0.3333333333333333,10087.0,3668.0,5868,2446,3362.333333333333,2445.333333333333
10314,0.3333333333333333,14464.4,5269.0,8384,3513,4821.466666666666,3512.6666666666665
10451,0.5,9238.6,3494.0,7487,2330,4619.3,2329.333333333333
10452,0.5,15441.4,5461.0,13900,3641,7720.7,3640.6666666666665
10453,0.5,15655.8,5476.0,13741,3651,7827.9,3650.6666666666665
10454,0.5,7936.6,2870.0,6563,1914,3968.3,1913.3333333333333
10455,0.5,8493.0,2507.0,5935,1672,4246.5,1671.3333333333333
10456,0.5,17022.0,6718.0,15786,4479,8511.0,4478.666666666666
10457,0.5,17266.4,6785.0,15159,4524,8633.2,4523.333333333333
10458,0.5,15615.8,5585.0,11657,3724,7807.9,3723.333333333333
10459,0.5,9861.6,3973.0,8918,2649,4930.8,2648.6666666666665
10460,0.5,10813.6,3983.0,9720,2656,5406.8,2655.333333333333
10461,0.5,7920.0,2750.0,4954,1834,3960.0,1833.3333333333333
10462,0.5,13363.4,5581.0,10425,3721,6681.7,3720.6666666666665
10463,0.3333333333333333,10689.4,4453.0,9749,2969,3563.133333333333,2968.6666666666665
10464,0.3333333333333333,518.6,75.0,236,50,172.86666666666667,50.0
10465,0.3333333333333333,7206.4,3268.0,5965,2179,2402.133333333333,2178.6666666666665
10466,0.5,11961.2,4393.0,8592,2929,5980.6,2928.6666666666665
10467,0.5,17084.4,6341.0,14320,4228,8542.2,4227.333333333333
10468,0.5,15651.8,6671.0,12808,4448,7825.9,4447.333333333333
10469,0.5,10980.6,4483.0,7978,2989,5490.3,2988.6666666666665
10470,0.5,2154.2,1311.0,2358,874,1077.1,874.0
10471,0.3333333333333333,2508.2,1015.0,1640,677,836.0666666666666,676.6666666666666
10472,0.5,12390.4,5321.0,10193,3548,6195.2,3547.333333333333
10473,0.5,9701.4,3742.0,8048,2495,4850.7,2494.6666666666665
10474,0.5,2601.4,1001.0,2332,668,1300.7,667.3333333333333
10475,0.5,6456.2,3115.0,5769,2077,3228.1,2076.6666666666665
10502,0.3333333333333333,1006.5999999999999,322.0,727,215,335.5333333333333,214.66666666666666
10504,0.3333333333333333,1472.4,521.0,847,547,490.8,347.3333333333333
10506,0.3333333333333333,1147.4,316.0,496,211,382.4666666666667,210.66666666666666
10507,0.3333333333333333,1062.0,425.0,464,284,354.0,283.3333333333333
10509,0.3333333333333333,2941.2,1103.0,1218,793,980.3999999999999,735.3333333333333
10510,0.3333333333333333,1430.2,375.0,844,378,476.73333333333335,250.0
10511,0.3333333333333333,302.2,119.0,286,80,100.73333333333332,79.33333333333333
10512,0.3333333333333333,2902.2,1127.0,1476,752,967.3999999999999,751.3333333333333
10514,0.3333333333333333,2422.2,732.0,902,488,807.3999999999999,488.0
10516,0.3333333333333333,716.8,283.0,295,189,238.9333333333333,188.66666666666666
10520,0.3333333333333333,1867.4,618.0,1016,544,622.4666666666667,412.0
10522,0.3333333333333333,1720.8,592.0,697,444,573.5999999999999,394.66666666666663
10523,0.3333333333333333,1580.4,684.0,879,456,526.8,456.0
10524,0.3333333333333333,506.6,131.0,219,88,168.86666666666667,87.33333333333333
10527,0.3333333333333333,71.4,15.0,76,64,23.8,10.0
10528,0.3333333333333333,2378.8,786.0,828,524,792.9333333333334,524.0
10530,0.3333333333333333,1746.2,867.0,1286,578,582.0666666666666,578.0
10532,0.3333333333333333,708.8,289.0,457,193,236.26666666666665,192.66666666666666
10533,0.3333333333333333,1726.4,538.0,688,359,575.4666666666667,358.66666666666663
10535,0.3333333333333333,10.6,7.0,120,5,3.533333333333333,4.666666666666666
10536,0.3333333333333333,1906.6,515.0,778,344,635.5333333333333,343.3333333333333
10538,0.3333333333333333,3813.6,1213.0,1346,809,1271.1999999999998,808.6666666666666
10541,0.3333333333333333,3816.4,1299.0,1349,866,1272.1333333333332,866.0
10543,0.3333333333333333,3708.8,1142.0,1440,762,1236.2666666666667,761.3333333333333
10547,0.3333333333333333,1005.5999999999999,370.0,980,497,335.19999999999993,246.66666666666666
10548,0.3333333333333333,599.8,303.0,545,202,199.9333333333333,202.0
10549,0.3333333333333333,2646.6,1395.0,1280,930,882.1999999999999,930.0
10550,0.5,6193.4,2127.0,3194,1418,3096.7,1418.0
10552,0.3333333333333333,2518.8,1033.0,1515,689,839.6,688.6666666666666
10553,0.5,1213.2,438.0,787,292,606.6,292.0
10560,0.3333333333333333,864.4,383.0,654,256,288.1333333333333,255.33333333333331
10562,0.3333333333333333,4094.6,1757.0,2684,1172,1364.8666666666666,1171.3333333333333
10566,0.3333333333333333,2885.8,1040.0,1434,694,961.9333333333334,693.3333333333333
10567,0.3333333333333333,2999.6,1135.0,1563,757,999.8666666666666,756.6666666666666
10570,0.3333333333333333,1911.4,659.0,879,440,637.1333333333333,439.3333333333333
10573,0.3333333333333333,5926.0,2248.0,3287,1499,1975.3333333333333,1498.6666666666665
10576,0.3333333333333333,459.4,98.0,248,66,153.13333333333333,65.33333333333333
10577,0.3333333333333333,376.8,212.0,438,336,125.6,141.33333333333331
10579,0.3333333333333333,918.0,199.0,372,133,306.0,132.66666666666666
10580,0.3333333333333333,3427.3999999999996,801.0,1292,534,1142.4666666666665,534.0
10583,0.3333333333333333,7642.4,2181.0,2631,1454,2547.4666666666662,1454.0
10588,0.3333333333333333,567.0,322.0,549,215,189.0,214.66666666666666
10589,0.3333333333333333,703.0,182.0,352,122,234.33333333333331,121.33333333333333
10590,0.3333333333333333,1040.6,324.0,394,216,346.8666666666666,216.0
10591,0.3333333333333333,3198.2,1364.0,2000,910,1066.0666666666666,909.3333333333333
10594,0.3333333333333333,951.6,359.0,538,240,317.2,239.33333333333331
10595,0.3333333333333333,788.6,356.0,888,605,262.8666666666667,237.33333333333331
10598,0.3333333333333333,4246.4,1277.0,1910,1049,1415.4666666666665,851.3333333333333
10601,0.3333333333333333,1014.6,330.0,340,229,338.2,220.0
10603,0.3333333333333333,3054.4,1155.0,1705,770,1018.1333333333333,770.0
10604,0.3333333333333333,2300.2,707.0,872,472,766.7333333333332,471.3333333333333
10605,0.3333333333333333,2616.6,979.0,2547,1454,872.1999999999999,652.6666666666666
10606,0.3333333333333333,2268.4,941.0,1107,628,756.1333333333333,627.3333333333333
10607,0.3333333333333333,818.5999999999999,334.0,414,223,272.8666666666666,222.66666666666666
10701,0.5,11620.8,4688.0,6756,3126,5810.4,3125.333333333333
10703,0.3333333333333333,3004.8,1232.0,2179,822,1001.6,821.3333333333333
10704,0.3333333333333333,4423.6,1875.0,2944,1250,1474.5333333333333,1250.0
10705,0.5,5959.0,1959.0,3500,1306,2979.5,1306.0
10706,0.3333333333333333,1279.2,407.0,756,322,426.4,271.3333333333333
10707,0.3333333333333333,1480.0,715.0,828,477,493.3333333333333,476.66666666666663
10708,0.3333333333333333,2903.2,1133.0,1531,756,967.7333333333332,755.3333333333333
10709,0.3333333333333333,1624.6,485.0,924,324,541.5333333333333,323.3333333333333
10710,0.3333333333333333,3319.6,1211.0,2308,808,1106.5333333333333,807.3333333333333
10801,0.3333333333333333,5582.6,1839.0,3365,1226,1860.8666666666668,1226.0
10803,0.3333333333333333,2705.8,656.0,992,559,901.9333333333334,437.3333333333333
10804,0.3333333333333333,2805.2,664.0,1458,650,935.0666666666666,442.66666666666663
10805,0.3333333333333333,2381.2,1144.0,1585,763,793.7333333333332,762.6666666666666
10901,0.3333333333333333,3968.2,1279.0,1967,853,1322.7333333333331,852.6666666666666
10913,0.3333333333333333,641.6,141.0,435,175,213.86666666666667,94.0
10916,0.3333333333333333,656.2,154.0,409,103,218.73333333333335,102.66666666666666
10917,0.3333333333333333,448.8,295.0,610,197,149.6,196.66666666666666
10918,0.3333333333333333,1808.0,767.0,999,512,602.6666666666666,511.3333333333333
10919,0.3333333333333333,101.4,23.0,120,16,33.8,15.333333333333332
10920,0.3333333333333333,1107.2,389.0,554,277,369.06666666666666,259.3333333333333
10921,0.3333333333333333,625.0,222.0,218,148,208.33333333333331,148.0
10923,0.3333333333333333,1806.2,844.0,1105,563,602.0666666666666,562.6666666666666
10924,0.3333333333333333,1925.4,730.0,722,487,641.8,486.66666666666663
10925,0.3333333333333333,534.6,160.0,282,107,178.2,106.66666666666666
10926,0.3333333333333333,604.8,250.0,448,167,201.59999999999997,166.66666666666666
10927,0.5,2267.2,1057.0,1542,705,1133.6,704.6666666666666
10928,0.3333333333333333,787.8,222.0,521,148,262.59999999999997,148.0
10930,0.3333333333333333,1310.4,323.0,510,216,436.8,215.33333333333331
10940,0.3333333333333333,8667.0,3426.0,4279,2284,2889.0,2284.0
10941,0.3333333333333333,1766.4,643.0,867,464,588.8,428.66666666666663
10950,0.3333333333333333,20702.0,8658.0,11255,5772,6900.666666666666,5772.0
10952,0.3333333333333333,16206.0,7131.0,9897,4754,5402.0,4754.0
10954,0.3333333333333333,3621.4,1444.0,2442,963,1207.1333333333332,962.6666666666666
10956,0.3333333333333333,4514.4,1619.0,1978,1080,1504.7999999999997,1079.3333333333333
10960,0.3333333333333333,1768.0,618.0,652,412,589.3333333333333,412.0
10962,0.3333333333333333,618.2,180.0,419,120,206.06666666666666,120.0
10963,0.3333333333333333,572.6,185.0,348,124,190.86666666666667,123.33333333333333
10964,0.3333333333333333,128.2,21.0,162,111,42.73333333333333,14.0
10965,0.3333333333333333,2806.6,984.0,1138,656,935.5333333333333,656.0
10968,0.3333333333333333,251.4,167.0,207,173,83.8,111.33333333333333
10970,0.3333333333333333,2331.8,1218.0,1641,812,777.2666666666667,812.0
10973,0.3333333333333333,383.6,33.0,219,143,127.86666666666667,22.0
10974,0.3333333333333333,455.4,208.0,457,139,151.79999999999998,138.66666666666666
10977,0.5,21802.8,8574.0,10963,5716,10901.4,5716.0
10980,0.3333333333333333,1914.4,771.0,1218,514,638.1333333333333,514.0
10983,0.3333333333333333,612.6,166.0,495,111,204.2,110.66666666666666
10984,0.3333333333333333,567.4,298.0,571,199,189.13333333333333,198.66666666666666
10987,0.3333333333333333,411.6,155.0,248,104,137.2,103.33333333333333
10989,0.3333333333333333,884.4,284.0,413,190,294.79999999999995,189.33333333333331
10990,0.3333333333333333,2512.0,714.0,959,476,837.3333333333333,476.0
10992,0.3333333333333333,1656.4,584.0,632,390,552.1333333333333,389.3333333333333
10993,0.5,325.6,73.0,481,303,162.8,48.666666666666664
10994,0.3333333333333333,783.0,279.0,990,186,261.0,186.0
10998,0.3333333333333333,641.6,258.0,451,172,213.86666666666667,172.0
11001,0.3333333333333333,3857.6,1121.0,1644,748,1285.8666666666666,747.3333333333333
11003,0.3333333333333333,6251.0,2672.0,5098,1782,2083.6666666666665,1781.3333333333333
11004,0.3333333333333333,1980.0,894.0,1712,596,660.0,596.0
11010,0.3333333333333333,3876.4,1458.0,2338,972,1292.1333333333332,972.0
11020,0.3333333333333333,768.2,182.0,270,122,256.06666666666666,121.33333333333333
11021,0.3333333333333333,2669.2,937.0,1042,625,889.7333333333332,624.6666666666666
11023,0.3333333333333333,2426.6,753.0,926,502,808.8666666666666,502.0
11024,0.3333333333333333,2195.2,855.0,1062,570,731.7333333333332,570.0
11030,0.3333333333333333,2867.6,718.0,1026,479,955.8666666666666,478.66666666666663
11040,0.3333333333333333,5498.2,1947.0,2264,1298,1832.7333333333331,1298.0
11042,0.3333333333333333,0.0,0.0,338,282,0.0,0.0
11050,0.3333333333333333,5795.2,1928.0,2313,1286,1931.7333333333331,1285.3333333333333
11096,0.5,2018.6,892.0,1218,595,1009.3,594.6666666666666
